adult,genre_ids,original_title,popularity,vote_average,vote_count,release_date,genre
False,[27],Salve,4.893,2.0,1,2023-06-03,horror
False,"[27, 18, 53]",Rabia,7.626,2.0,1,2023-06-03,horror
False,"[27, 53]",回魂之夜,6.064,4.0,1,2023-06-02,horror
False,[27],Disguise,3.833,9.0,1,2023-06-02,horror
False,"[27, 35]",Cucaracha,3.863,6.0,2,2023-06-02,horror
False,[27],Spirit Doll,4.29,3.0,1,2023-06-01,horror
False,"[14, 27, 28]",ABHA,3.375,10.0,1,2023-06-01,horror
False,"[27, 9648]","If I Were President, Criminals Would Need to Watch Their Backs",3.249,10.0,1,2023-05-31,horror
False,"[27, 18]",Heridas Abiertas,3.234,1.0,1,2023-05-31,horror
False,[27],Hell of the Screaming Undead,6.408,2.0,1,2023-05-30,horror
False,"[53, 27]",Farol Alto,3.312,10.0,1,2023-05-28,horror
False,"[27, 53]",Marcy!,2.288,10.0,1,2023-05-28,horror
False,[27],El canal que cayó del cielo,2.58,2.0,1,2023-05-28,horror
False,"[27, 53]",బూ,2.985,7.0,1,2023-05-27,horror
False,[27],Jeepers Creepers O Regresso,12.412,5.0,2,2023-05-26,horror
False,[27],Jin Khodam,3.123,7.0,1,2023-05-25,horror
False,"[27, 35]",Generation Loss - The Social Experiments,4.245,10.0,3,2023-05-24,horror
False,"[27, 878]",Cocaine Shark,7.834,9.0,1,2023-05-23,horror
False,"[27, 9648]",The Boogeyman,134.373,6.2,54,2023-05-31,horror
False,[27],Creepypasta,5.929,3.0,1,2023-05-23,horror
False,"[16, 35, 27]",Pastacolypse,3.333,2.0,1,2023-05-21,horror
False,"[27, 9648]",잠,2.4,10.0,1,2023-05-21,horror
False,"[27, 878, 53]",L1L1TH,1.562,2.0,1,2023-05-19,horror
False,[27],Penumbra,1.195,6.0,1,2023-05-19,horror
False,"[27, 53]",Ang Mga Kaibigan ni Mama Susan,7.83,5.5,8,2023-05-18,horror
False,[27],Kajiman: Iblis Terkejam Penagih Janji,4.726,6.0,1,2023-05-18,horror
False,"[53, 37, 9648, 27]",The Haunting of Hell Hole Mine,2.457,6.0,2,2023-05-18,horror
False,"[27, 14]",Mágoa das Flores,1.39,10.0,1,2023-05-18,horror
False,[27],Tiger Stripes,2.628,5.5,2,2023-05-17,horror
False,"[18, 27]",J'ai vu le visage du diable,1.21,6.0,1,2023-05-17,horror
False,"[27, 53]",Knock-Knock,1.159,10.0,1,2023-05-17,horror
False,"[27, 53]",Незримое,2.358,10.0,1,2023-05-17,horror
